C,C1,C2
3.09e-10,2.7e-10,3.9e-11
3.09e-10,3.9e-11,2.7e-10
3.17e-10,2.7e-10,4.7e-11
3.17e-10,4.7e-11,2.7e-10
3.2e-10,9.999999999999999e-11,2.2e-10
3.2e-10,2.2e-10,9.999999999999999e-11
3.26e-10,2.7e-10,5.6e-11
3.26e-10,5.6e-11,2.7e-10
3.3e-10,0,3.3e-10
3.3e-10,1.5e-10,1.8e-10
3.3e-10,1.8e-10,1.5e-10
3.3e-10,3.3e-10,0
3.3799999999999997e-10,2.7e-10,6.8e-11
3.3799999999999997e-10,6.8e-11,2.7e-10
3.3999999999999996e-10,1.2e-10,2.2e-10
3.3999999999999996e-10,2.2e-10,1.2e-10
3.4e-10,3.3e-10,1e-11
3.4e-10,1e-11,3.3e-10
3.42e-10,3.3e-10,1.2e-11
3.42e-10,1.2e-11,3.3e-10
3.45e-10,3.3e-10,1.5e-11
3.45e-10,1.5e-11,3.3e-10
3.48e-10,3.3e-10,1.8e-11
3.48e-10,1.8e-11,3.3e-10
3.5199999999999997e-10,3.3e-10,2.1999999999999998e-11
3.5199999999999997e-10,2.1999999999999998e-11,3.3e-10
3.52e-10,2.7e-10,8.2e-11
3.52e-10,8.2e-11,2.7e-10
3.57e-10,3.3e-10,2.7e-11
3.57e-10,2.7e-11,3.3e-10
3.6e-10,1.8e-10,1.8e-10
3.63e-10,3.3e-10,3.3e-11
3.63e-10,3.3e-11,3.3e-10
3.69e-10,3.3e-10,3.9e-11
3.69e-10,3.9e-11,3.3e-10
3.6999999999999996e-10,9.999999999999999e-11,2.7e-10
3.6999999999999996e-10,1.5e-10,2.2e-10
3.6999999999999996e-10,2.2e-10,1.5e-10
3.6999999999999996e-10,2.7e-10,9.999999999999999e-11
3.77e-10,3.3e-10,4.7e-11
3.77e-10,4.7e-11,3.3e-10
3.86e-10,3.3e-10,5.6e-11
3.86e-10,5.6e-11,3.3e-10
3.9e-10,0,3.9e-10
3.9e-10,1.2e-10,2.7e-10
3.9e-10,2.7e-10,1.2e-10
3.9e-10,3.9e-10,0
3.9799999999999997e-10,3.3e-10,6.8e-11
3.9799999999999997e-10,6.8e-11,3.3e-10
3.9999999999999996e-10,1.8e-10,2.2e-10
3.9999999999999996e-10,2.2e-10,1.8e-10
4e-10,3.9e-10,1e-11
4e-10,1e-11,3.9e-10
4.02e-10,3.9e-10,1.2e-11
4.02e-10,1.2e-11,3.9e-10
4.05e-10,3.9e-10,1.5e-11
4.05e-10,1.5e-11,3.9e-10
4.08e-10,3.9e-10,1.8e-11
4.08e-10,1.8e-11,3.9e-10
4.1199999999999997e-10,3.9e-10,2.1999999999999998e-11
4.1199999999999997e-10,2.1999999999999998e-11,3.9e-10
4.12e-10,3.3e-10,8.2e-11
4.12e-10,8.2e-11,3.3e-10
4.17e-10,3.9e-10,2.7e-11
4.17e-10,2.7e-11,3.9e-10
4.2e-10,1.5e-10,2.7e-10
4.2e-10,2.7e-10,1.5e-10
4.23e-10,3.9e-10,3.3e-11
4.23e-10,3.3e-11,3.9e-10
4.29e-10,3.9e-10,3.9e-11
4.29e-10,3.9e-11,3.9e-10
4.2999999999999996e-10,9.999999999999999e-11,3.3e-10
4.2999999999999996e-10,3.3e-10,9.999999999999999e-11
4.37e-10,3.9e-10,4.7e-11
4.37e-10,4.7e-11,3.9e-10
4.4e-10,2.2e-10,2.2e-10
4.46e-10,3.9e-10,5.6e-11
4.46e-10,5.6e-11,3.9e-10
4.5e-10,1.2e-10,3.3e-10
4.5e-10,1.8e-10,2.7e-10
4.5e-10,2.7e-10,1.8e-10
4.5e-10,3.3e-10,1.2e-10
4.5799999999999997e-10,3.9e-10,6.8e-11
4.5799999999999997e-10,6.8e-11,3.9e-10
